선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
박민우,2루수,0.323,339,291,48,94,17,2,5,25,8,36,52,3,4,3,1,0.411,0.447,0.858,1,NC,70,23,5,1.043,0.255,54.894000000000005
권희동,좌익수,0.298,141,114,20,34,7,0,2,13,4,21,19,3,0,2,0,0.424,0.412,0.836,2,NC,25,3,0,0.167,0.38,21.077999999999996
서호철,3루수,0.232,81,69,10,16,2,0,1,6,5,4,17,1,0,1,2,0.313,0.304,0.617,2,NC,13,1,3,-0.096,0.244,7.164
박시원,좌익수,0.222,28,27,3,6,1,0,0,3,0,1,9,0,0,0,0,0.25,0.259,0.509,2,NC,5,1,0,0.037,0.357,1.7779999999999996
권희동,좌익수,0.364,13,11,1,4,1,0,0,5,0,2,3,0,0,0,0,0.462,0.455,0.917,3,NC,3,3,0,0.167,0.38,2.786
박건우,우익수,0.346,254,234,39,81,21,0,10,39,1,17,39,7,3,0,2,0.39,0.564,0.954,3,NC,50,4,0,-0.607,0.379,45.157999999999994
데이비슨,1루수,0.28,359,318,56,89,11,0,28,72,12,24,93,6,2,0,5,0.348,0.579,0.927,4,NC,50,0,1,-1.167,0.242,63.25600000000002
권희동,좌익수,0.265,43,34,3,9,3,1,0,7,0,6,4,1,1,0,3,0.349,0.412,0.761,4,NC,5,3,0,0.167,0.38,6.6480000000000015
도태훈,3루수,0.111,11,9,2,1,0,0,0,2,0,2,3,0,0,0,0,0.273,0.111,0.384,4,NC,1,0,0,0.147,0.2,0.43600000000000017
박건우,우익수,0.353,99,85,18,30,2,1,3,14,1,13,14,0,0,0,0,0.444,0.506,0.95,5,NC,24,4,0,-0.607,0.379,19.218
권희동,좌익수,0.276,160,134,18,37,3,0,3,20,3,23,25,2,0,0,0,0.394,0.366,0.76,5,NC,31,3,0,0.167,0.38,21.69
김휘집,유격수,0.25,30,24,5,6,1,0,4,7,0,4,9,2,0,0,2,0.333,0.792,1.125,5,NC,1,2,2,-0.04,0.222,6.367999999999999
박한결,좌익수,0.235,18,17,2,4,0,0,2,5,0,1,6,1,0,0,0,0.278,0.588,0.866,5,NC,2,0,0,-0.336,0.091,2.6319999999999997
김성욱,중견수,0.087,25,23,1,2,0,0,0,1,1,0,4,0,0,0,1,0.12,0.087,0.207,5,NC,2,9,2,0.25,0.232,0.7679999999999998
서호철,3루수,0.279,151,136,15,38,6,1,1,17,3,12,26,6,0,0,0,0.351,0.36,0.711,6,NC,30,1,3,-0.096,0.244,14.872
김휘집,유격수,0.255,57,51,6,13,1,0,1,5,0,4,8,1,0,1,1,0.304,0.333,0.637,6,NC,11,2,2,-0.04,0.222,5.295999999999999
박한결,좌익수,0.25,18,16,4,4,1,0,3,4,0,2,6,0,0,0,0,0.333,0.875,1.208,6,NC,0,0,0,-0.336,0.091,4.592
김성욱,중견수,0.202,128,104,19,21,5,1,4,19,6,16,20,2,0,2,0,0.341,0.385,0.726,6,NC,11,9,2,0.25,0.232,16.070000000000004
도태훈,3루수,0.385,15,13,1,5,2,0,0,1,1,1,3,0,0,0,0,0.467,0.538,1.005,7,NC,3,0,0,0.147,0.2,2.876
박세혁,포수,0.345,32,29,5,10,3,0,0,4,0,2,6,2,0,1,0,0.387,0.448,0.835,7,NC,7,2,0,0.073,0.13,4.242
서호철,3루수,0.323,75,65,6,21,2,0,1,10,2,7,17,2,0,1,0,0.405,0.4,0.805,7,NC,18,1,3,-0.096,0.244,9.363999999999999
김휘집,유격수,0.32,30,25,7,8,2,0,1,5,2,3,5,0,0,0,0,0.433,0.52,0.953,7,NC,5,2,2,-0.04,0.222,5.23
천재환,중견수,0.267,17,15,2,4,1,1,0,2,0,1,0,1,0,1,0,0.313,0.467,0.78,7,NC,2,5,0,-0.41,0.25,2.6799999999999997
김주원,유격수,0.25,14,12,2,3,0,0,0,1,0,2,3,0,0,0,0,0.357,0.25,0.607,7,NC,3,9,2,1.911,0.188,2.3259999999999996
